ID,Label,Class,Department,Price,Cost
SK00158,Crew Neck Merino Wool Sweater,Tops,Men's Apparel, $114.99 , $18.28 
SK00269,Faux Leather Leggings,Jewelry,Footwear, $9.99 , $8.45 
SK00300,Fleece-Lined Parka,Jewelry,Unisex Accessories, $199.99 , $17.80 
SK00304,Cotton Polo Shirt,Tops,Women's Apparel, $139.99 , $10.78 
SK00766,Foldable Travel Hat,Tops,Footwear, $44.99 , $27.08 
SK00786,Chic Quilted Wallet,Bottoms,Footwear, $14.99 , $4.02 
SK00960,High-Slit Maxi Dress,Outerwear,Sportswear, $74.99 , $47.47 
SK01183,Turtleneck Cable Knit Sweater,Footwear,Footwear, $49.99 , $22.60 
SK01189,Retro-Inspired Sunglasses,Bottoms,Women's Apparel, $194.99 , $115.63 
SK01193,Stretch Denim Overalls,Bottoms,Unisex Accessories, $129.99 , $47.06 
SK01249,Adjustable Elastic Headband,Footwear,Women's Apparel, $19.99 , $1.34 
SK01319,Adjustable Baseball Cap,Jewelry,Men's Apparel, $4.99 , $2.29 
SK01349,Cotton Polo Shirt,Bottoms,Unisex Accessories, $114.99 , $60.94 
SK01549,Faux Suede Ankle Boots,Tops,Sportswear, $94.99 , $71.53 
SK01566,Striped Cotton Socks,Accessories,Sportswear, $9.99 , $6.91 
SK01642,Performance Compression Tights,Outerwear,Sportswear, $54.99 , $59.61 
SK01733,Vintage Logo Hoodie,Accessories,Men's Apparel, $94.99 , $84.45 
SK01896,Floral Chiffon Wrap Dress,Accessories,Unisex Accessories, $149.99 , $68.55 
SK01927,Asymmetrical Hem Skirt,Jewelry,Sportswear, $99.99 , $66.89 
SK01950,Slim Fit Pinstripe Suit,Bottoms,Women's Apparel, $99.99 , $13.30 
SK02029,Chunky Heel Sandals,Jewelry,Unisex Accessories, $89.99 , $46.70 
SK02429,Suede Fringe Vest,Bottoms,Footwear, $184.99 , $159.65 
SK02448,Relaxed Fit Cargo Pants,Bottoms,Sportswear, $149.99 , $7.20 
SK02562,Corduroy A-Line Skirt,Jewelry,Footwear, $129.99 , $48.62 
SK02642,Formal Dress Shoes,Bottoms,Women's Apparel, $164.99 , $161.69 
SK02768,Tailored Corduroy Blazer,Accessories,Sportswear, $89.99 , $62.99 
SK02805,Foldable Travel Hat,Outerwear,Women's Apparel, $194.99 , $56.16 
SK02904,Asymmetrical Hem Skirt,Tops,Unisex Accessories, $89.99 , $67.94 
SK03182,Plaid Flannel Shirt,Tops,Unisex Accessories, $124.99 , $17.50 
SK03289,Oversized Hoodie,Tops,Women's Apparel, $159.99 , $122.23 
SK03348,Woven Straw Sun Hat,Jewelry,Footwear, $164.99 , $8.91 
SK03569,Faux Fur Winter Coat,Tops,Men's Apparel, $9.99 , $7.37 
SK03572,Casual Cotton Romper,Tops,Footwear, $119.99 , $52.32 
SK03636,Racerback Sports Bra,Footwear,Unisex Accessories, $14.99 , $8.72 
SK03725,Polarized Sports Sunglasses,Tops,Men's Apparel, $79.99 , $9.44 
SK03980,Chunky Platform Sneakers,Tops,Unisex Accessories, $109.99 , $61.70 
SK04282,Slim Fit Chinos,Footwear,Sportswear, $114.99 , $51.98 
SK04325,Faux Leather Leggings,Tops,Footwear, $194.99 , $13.06 
SK04707,Water-Resistant Fanny Pack,Tops,Women's Apparel, $24.99 , $23.64 
SK04815,Performance Compression Tights,Bottoms,Footwear, $14.99 , $16.29 
SK05097,Cropped Faux Leather Jacket,Jewelry,Sportswear, $79.99 , $19.52 
SK05194,Breathable Mesh Shorts,Accessories,Footwear, $194.99 , $28.08 
SK05478,Minimalist Silver Ring,Accessories,Footwear, $174.99 , $147.34 
SK05715,Ribbed Turtleneck Dress,Bottoms,Footwear, $94.99 , $22.61 
SK05928,Velvet Slip Dress,Jewelry,Men's Apparel, $69.99 , $41.64 
SK06290,Waterproof Smartwatch,Bottoms,Men's Apparel, $144.99 , $53.50 
SK06375,Patterned Cotton Bucket Hat,Outerwear,Sportswear, $144.99 , $114.40 
SK06559,Diamond Stud Earrings,Outerwear,Men's Apparel, $144.99 , $146.00 
SK06601,Tassel Fringe Handbag,Outerwear,Unisex Accessories, $59.99 , $33.29 
SK06651,Tactical Hiking Backpack,Outerwear,Sportswear, $49.99 , $52.54 
SK06691,Patterned Cotton Bucket Hat,Accessories,Unisex Accessories, $9.99 , $2.14 
SK06996,Bohemian Beaded Bracelet,Accessories,Unisex Accessories, $124.99 , $116.12 
SK07054,Mesh Panel Yoga Pants,Accessories,Footwear, $184.99 , $166.86 
SK07068,Diamond Stud Earrings,Outerwear,Sportswear, $14.99 , $13.75 
SK07322,Faux Suede Ankle Boots,Tops,Footwear, $84.99 , $90.43 
SK07369,Water-Resistant Fanny Pack,Outerwear,Unisex Accessories, $4.99 , $3.73 
SK07447,Plaid Wool Scarf,Tops,Footwear, $139.99 , $97.57 
SK07484,Cropped Faux Leather Jacket,Accessories,Women's Apparel, $179.99 , $163.43 
SK07595,Textured Knit Pullover,Tops,Footwear, $54.99 , $50.43 
SK07767,Boho Style Tassel Earrings,Footwear,Sportswear, $194.99 , $193.43 
SK07782,Sherpa Lined Hooded Coat,Jewelry,Footwear, $174.99 , $128.09 
SK07944,Mesh Panel Yoga Pants,Tops,Unisex Accessories, $69.99 , $45.49 
SK08191,Graphic Print T-Shirt,Jewelry,Men's Apparel, $109.99 , $53.35 
SK08285,Fitted V-Neck Sweater,Footwear,Men's Apparel, $124.99 , $110.24 
SK08314,Formal Dress Shoes,Accessories,Footwear, $74.99 , $8.62 
SK08373,Satin Lace Camisole,Jewelry,Women's Apparel, $184.99 , $136.15 
SK08443,Slim Fit Chinos,Bottoms,Unisex Accessories, $89.99 , $61.64 
SK08544,Retro-Inspired Sunglasses,Footwear,Women's Apparel, $44.99 , $41.12 
SK08557,Formal Velvet Blazer,Bottoms,Sportswear, $194.99 , $189.14 
SK08783,Striped Cotton Socks,Accessories,Footwear, $169.99 , $10.54 
SK09245,Yoga Leggings,Bottoms,Unisex Accessories, $164.99 , $172.58 
SK09312,Formal Dress Shoes,Bottoms,Sportswear, $9.99 , $1.96 
SK09318,Aviator Sunglasses,Footwear,Sportswear, $44.99 , $12.37 
SK09414,Perforated Leather Belt,Tops,Footwear, $44.99 , $4.50 
SK09453,Smart Heated Gloves,Footwear,Unisex Accessories, $109.99 , $100.53 
SK09469,Silk Embroidered Kimono,Jewelry,Sportswear, $109.99 , $78.64 
SK09592,Performance Swim Trunks,Tops,Men's Apparel, $174.99 , $157.84 
SK09659,Tactical Hiking Backpack,Jewelry,Women's Apparel, $69.99 , $58.16 
SK09728,Thermal Running Gloves,Outerwear,Women's Apparel, $49.99 , $53.79 
SK09816,Quilted Leather Clutch,Jewelry,Unisex Accessories, $134.99 , $95.84 
SK10226,Rugged Utility Jacket,Accessories,Unisex Accessories, $44.99 , $2.43 
SK10286,Tapered Suit Trousers,Bottoms,Men's Apparel, $64.99 , $53.10 
SK10304,Faux Leather Leggings,Tops,Men's Apparel, $139.99 , $22.54 
SK10514,Lace-Up Combat Boots,Tops,Sportswear, $109.99 , $64.89 
SK10565,Athletic Crew Socks,Accessories,Unisex Accessories, $174.99 , $1.75 
SK10717,Silk Neck Scarf,Outerwear,Footwear, $94.99 , $49.87 
SK10760,Sherpa Lined Denim Jacket,Outerwear,Women's Apparel, $119.99 , $28.92 
SK11103,Lace-Up Combat Boots,Outerwear,Men's Apparel, $24.99 , $24.84 
SK11147,Sporty Zip-Up Hoodie,Footwear,Women's Apparel, $184.99 , $65.30 
SK11260,Minimalist Gold Necklace,Footwear,Unisex Accessories, $104.99 , $52.08 
SK11808,Classic Denim Jacket,Jewelry,Women's Apparel, $149.99 , $144.29 
SK11860,Tassel Fringe Handbag,Accessories,Sportswear, $109.99 , $3.19 
SK12148,Oversized Cat-Eye Sunglasses,Jewelry,Footwear, $159.99 , $109.11 
SK12418,Minimalist Leather Watch,Bottoms,Unisex Accessories, $49.99 , $49.89 
SK12460,Quilted Leather Clutch,Bottoms,Unisex Accessories, $4.99 , $0.68 
SK12478,Floral Chiffon Wrap Dress,Footwear,Men's Apparel, $184.99 , $39.59 
SK12670,Graphic Skateboard Tee,Bottoms,Women's Apparel, $194.99 , $53.43 
SK12760,Minimalist Silver Ring,Tops,Unisex Accessories, $9.99 , $9.53 
SK12773,Padded Winter Mittens,Tops,Unisex Accessories, $154.99 , $53.78 
SK12919,Classic Denim Jacket,Jewelry,Footwear, $109.99 , $89.53 
SK13050,Lace-Up Combat Boots,Tops,Women's Apparel, $134.99 , $75.59 
SK13226,Cuffed Jogger Pants,Jewelry,Footwear, $69.99 , $64.95 
SK13248,Oversized Hoodie,Outerwear,Men's Apparel, $124.99 , $23.25 
SK13498,Unisex Oversized Sweatshirt,Jewelry,Men's Apparel, $139.99 , $77.13 
SK13532,Puffer Insulated Vest,Tops,Sportswear, $14.99 , $10.72 
SK13740,Faux Fur Winter Coat,Outerwear,Footwear, $14.99 , $4.56 
SK13952,Tactical Hiking Backpack,Accessories,Footwear, $199.99 , $115.79 
SK14045,Stretch Fit Slip-On Sneakers,Accessories,Unisex Accessories, $124.99 , $54.12 
SK14051,Crew Neck Merino Wool Sweater,Tops,Women's Apparel, $19.99 , $3.62 
SK14104,Handcrafted Wooden Watch,Bottoms,Footwear, $154.99 , $122.91 
SK14223,Smart Heated Gloves,Tops,Women's Apparel, $34.99 , $4.13 
SK14232,Luxury Silk Tie,Tops,Sportswear, $114.99 , $49.68 
SK14409,Heavy-Duty Work Gloves,Tops,Women's Apparel, $164.99 , $63.03 
SK14424,Waterproof Hiking Boots,Jewelry,Men's Apparel, $144.99 , $17.25 
SK14528,Performance Swim Trunks,Footwear,Unisex Accessories, $114.99 , $41.51 
SK14566,Feather Embellished Fedora,Outerwear,Sportswear, $184.99 , $193.87 
SK14651,Floral Chiffon Wrap Dress,Tops,Footwear, $159.99 , $110.23 
SK14807,Bamboo Fiber Boxer Briefs,Accessories,Men's Apparel, $89.99 , $7.74 
SK14940,Woven Straw Sun Hat,Footwear,Women's Apparel, $99.99 , $9.70 
SK14945,Silk Embroidered Kimono,Bottoms,Women's Apparel, $74.99 , $12.30 
SK14974,Asymmetrical Hem Skirt,Bottoms,Footwear, $184.99 , $19.98 
SK15217,Wool Fedora Hat,Footwear,Sportswear, $99.99 , $86.49 
SK15290,Fleece Jogger Sweatpants,Footwear,Sportswear, $79.99 , $45.67 
SK15291,Cuffed Jogger Pants,Outerwear,Sportswear, $114.99 , $52.90 
SK15526,Relaxed Fit Cargo Pants,Bottoms,Women's Apparel, $199.99 , $80.80 
SK15631,Velvet Slip Dress,Tops,Footwear, $164.99 , $106.75 
SK15722,Cashmere Turtleneck Sweater,Accessories,Men's Apparel, $99.99 , $91.79 
SK15739,High-Waisted Bikini Set,Outerwear,Sportswear, $64.99 , $69.34 
SK15761,Minimalist Gold Necklace,Jewelry,Sportswear, $74.99 , $71.47 
SK16210,Oversized Cat-Eye Sunglasses,Outerwear,Men's Apparel, $119.99 , $117.83 
SK16364,Minimalist Silver Ring,Outerwear,Women's Apparel, $64.99 , $49.59 
SK16370,Sherpa Lined Denim Jacket,Jewelry,Men's Apparel, $189.99 , $28.69 
SK16474,Cropped Faux Leather Jacket,Outerwear,Women's Apparel, $39.99 , $21.03 
SK16642,Tassel Fringe Handbag,Tops,Men's Apparel, $134.99 , $20.79 
SK16722,Reflective Running Vest,Jewelry,Sportswear, $154.99 , $112.21 
SK16745,Classic Denim Jacket,Footwear,Footwear, $24.99 , $22.29 
SK16750,Faux Leather Leggings,Outerwear,Unisex Accessories, $64.99 , $43.02 
SK16871,Woven Straw Sun Hat,Bottoms,Sportswear, $9.99 , $0.80 
SK17623,Silk Embroidered Kimono,Footwear,Footwear, $134.99 , $48.06 
SK17867,High-Slit Maxi Dress,Tops,Unisex Accessories, $9.99 , $7.85 
SK18018,Fleece-Lined Parka,Tops,Footwear, $59.99 , $17.40 
SK18148,Silk Neck Scarf,Bottoms,Men's Apparel, $114.99 , $120.62 
SK18224,Unisex Oversized Sweatshirt,Accessories,Men's Apparel, $134.99 , $106.64 
SK18623,Textured Knit Pullover,Jewelry,Men's Apparel, $34.99 , $33.38 
SK18665,Luxury Silk Tie,Tops,Footwear, $54.99 , $20.95 
SK18753,Rugged Utility Jacket,Outerwear,Women's Apparel, $29.99 , $20.69 
SK18791,Retro-Inspired Sunglasses,Jewelry,Unisex Accessories, $79.99 , $82.55 
SK19521,High-Slit Maxi Dress,Outerwear,Footwear, $14.99 , $6.49 
SK19547,Boho Style Tassel Earrings,Outerwear,Men's Apparel, $104.99 , $11.02 
SK19857,Metallic Hoop Earrings,Bottoms,Unisex Accessories, $84.99 , $35.61 
